split,track_id,profile,fp_class_name,fn_class_name,fp_time_sec,fn_time_sec,delta_ms,abs_delta_ms,fp_confidence,fp_threshold,fn_threshold,threshold_mode,checkpoint,onset_tolerance_ms
TEST,test_basic_groove_000115_106bpm,basic_groove,SD,T14,1.13,1.13,0.0,0.0,0.09186095744371414,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000115_106bpm,basic_groove,SD,T16,2.08,2.12,-40.0,40.0,0.09529424458742142,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000145_99bpm,basic_groove,T12,KD,1.47,1.51,-40.0,40.0,0.06824357807636261,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000145_99bpm,basic_groove,T12,T16,1.81,1.81,0.0,0.0,0.16460634768009186,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000146_109bpm,basic_groove,SD,KD,1.4,1.38,20.0,20.0,0.04282187670469284,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000157_113bpm,basic_groove,SD,KD,1.01,1.06,-50.0,50.0,0.040450796484947205,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000161_94bpm,basic_groove,KD,SD,0.53,0.48,50.0,50.0,0.041890017688274384,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000164_97bpm,basic_groove,T14,T16,1.76,1.71,50.0,50.0,0.07002852112054825,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000167_99bpm,basic_groove,T12,SD,1.53,1.51,20.0,20.0,0.097076915204525,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000185_113bpm,basic_groove,SD,T12,1.23,1.19,40.0,40.0,0.045980919152498245,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000185_113bpm,basic_groove,SD,KD,1.4,1.45,-50.0,50.0,0.06367577612400055,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000196_98bpm,basic_groove,KD,SD,1.09,1.07,20.0,20.0,0.040426112711429596,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000196_98bpm,basic_groove,KD,T14,2.32,2.29,30.0,30.0,0.06082109361886978,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000196_98bpm,basic_groove,SD,T14,2.3,2.29,10.0,10.0,0.05736203491687775,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000196_98bpm,basic_groove,T12,T14,2.3,2.29,10.0,10.0,0.056030575186014175,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000197_101bpm,basic_groove,SD,T16,2.04,2.08,-40.0,40.0,0.04627520591020584,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000217_96bpm,basic_groove,T14,T12,1.44,1.41,30.0,30.0,0.05345527455210686,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000229_108bpm,basic_groove,SD,KD,1.56,1.53,30.0,30.0,0.04473523795604706,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000229_108bpm,basic_groove,SD,T14,1.56,1.53,30.0,30.0,0.04473523795604706,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000229_108bpm,basic_groove,T12,KD,1.55,1.53,20.0,20.0,0.09574182331562042,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000229_108bpm,basic_groove,T12,T14,1.55,1.53,20.0,20.0,0.09574182331562042,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000235_99bpm,basic_groove,SD,KD,0.0,0.0,0.0,0.0,0.04892720282077789,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000242_105bpm,basic_groove,KD,T14,1.81,1.86,-50.0,50.0,0.15538471937179565,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000242_105bpm,basic_groove,SD,T14,1.81,1.86,-50.0,50.0,0.1341407746076584,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000244_102bpm,basic_groove,T14,T16,1.77,1.77,0.0,0.0,0.044557761400938034,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000250_112bpm,basic_groove,T16,SD,1.61,1.61,0.0,0.0,0.043623022735118866,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000253_107bpm,basic_groove,SD,T14,1.1,1.12,-20.0,20.0,0.046319663524627686,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000253_107bpm,basic_groove,T12,T14,1.1,1.12,-20.0,20.0,0.07197172939777374,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000264_103bpm,basic_groove,KD,T12,1.29,1.31,-20.0,20.0,0.04048042371869087,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000273_103bpm,basic_groove,KD,T14,1.88,1.88,0.0,0.0,0.056216564029455185,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000273_103bpm,basic_groove,T16,T14,1.88,1.88,0.0,0.0,0.06941903382539749,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000276_92bpm,basic_groove,SD,T16,1.85,1.8,50.0,50.0,0.1224898025393486,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000277_96bpm,basic_groove,KD,T12,2.33,2.35,-20.0,20.0,0.1315607875585556,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000277_96bpm,basic_groove,T12,KD,1.88,1.88,0.0,0.0,0.05186467245221138,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000277_96bpm,basic_groove,T12,SD,1.88,1.88,0.0,0.0,0.05186467245221138,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000286_95bpm,basic_groove,SD,T16,2.22,2.22,0.0,0.0,0.14093035459518433,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000286_95bpm,basic_groove,T12,T16,2.22,2.22,0.0,0.0,0.10280187427997589,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000307_93bpm,basic_groove,KD,SD,1.08,1.13,-50.0,50.0,0.042701803147792816,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000307_93bpm,basic_groove,KD,T12,1.65,1.62,30.0,30.0,0.04467711225152016,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000307_93bpm,basic_groove,T12,SD,1.73,1.78,-50.0,50.0,0.10931982100009918,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000309_98bpm,basic_groove,SD,KD,0.89,0.92,-30.0,30.0,0.10251129418611526,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000309_98bpm,basic_groove,SD,T16,1.22,1.23,-10.0,10.0,0.05709390714764595,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000309_98bpm,basic_groove,SD,T12,1.73,1.69,40.0,40.0,0.058643873780965805,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000309_98bpm,basic_groove,T12,T16,1.22,1.23,-10.0,10.0,0.047078050673007965,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000316_113bpm,basic_groove,KD,T14,1.67,1.72,-50.0,50.0,0.13609738647937775,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000318_93bpm,basic_groove,SD,T14,1.62,1.61,10.0,10.0,0.04120377078652382,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000318_93bpm,basic_groove,T12,T14,1.59,1.61,-20.0,20.0,0.04089168831706047,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000330_98bpm,basic_groove,KD,T14,1.69,1.68,10.0,10.0,0.27651891112327576,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000330_98bpm,basic_groove,T12,T14,1.68,1.68,0.0,0.0,0.05340620502829552,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000334_112bpm,basic_groove,KD,T12,1.2,1.2,0.0,0.0,0.11466489732265472,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000341_98bpm,basic_groove,KD,T14,2.01,2.0,10.0,10.0,0.10876113921403885,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000341_98bpm,basic_groove,SD,T14,2.02,2.0,20.0,20.0,0.04744892194867134,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000353_114bpm,basic_groove,T12,T14,1.01,1.05,-40.0,40.0,0.15063007175922394,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000356_113bpm,basic_groove,SD,T16,1.32,1.32,0.0,0.0,0.06828100979328156,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000360_97bpm,basic_groove,SD,T14,1.21,1.23,-20.0,20.0,0.04569061100482941,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000360_97bpm,basic_groove,T12,T14,1.53,1.54,-10.0,10.0,0.07020118832588196,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000369_112bpm,basic_groove,SD,KD,1.33,1.34,-10.0,10.0,0.09151051193475723,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000376_96bpm,basic_groove,SD,T14,2.2,2.2,0.0,0.0,0.2130565196275711,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000394_114bpm,basic_groove,KD,SD,0.95,0.93,20.0,20.0,0.20226888358592987,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000395_101bpm,basic_groove,KD,T14,1.52,1.48,40.0,40.0,0.06524539738893509,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000395_101bpm,basic_groove,KD,T16,2.08,2.07,10.0,10.0,0.0477159284055233,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000395_101bpm,basic_groove,SD,T16,2.08,2.07,10.0,10.0,0.1223084032535553,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000402_103bpm,basic_groove,KD,SD,1.44,1.45,-10.0,10.0,0.04063136875629425,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000402_103bpm,basic_groove,SD,T16,1.89,1.89,0.0,0.0,0.17672888934612274,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000411_95bpm,basic_groove,KD,T14,2.01,2.04,-30.0,30.0,0.08151599019765854,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000411_95bpm,basic_groove,SD,T14,2.0,2.04,-40.0,40.0,0.24966710805892944,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000414_97bpm,basic_groove,KD,T14,2.06,2.01,50.0,50.0,0.05331908538937569,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000414_97bpm,basic_groove,SD,T14,2.06,2.01,50.0,50.0,0.07991956174373627,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000423_112bpm,basic_groove,KD,T12,1.42,1.47,-50.0,50.0,0.10230722278356552,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000432_92bpm,basic_groove,KD,SD,1.14,1.15,-10.0,10.0,0.06345561891794205,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000436_114bpm,basic_groove,KD,SD,1.37,1.32,50.0,50.0,0.06938526034355164,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000436_114bpm,basic_groove,T14,KD,1.36,1.31,50.0,50.0,0.0465482696890831,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000436_114bpm,basic_groove,T14,SD,1.36,1.32,40.0,40.0,0.0465482696890831,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000438_112bpm,basic_groove,KD,T16,1.93,1.88,50.0,50.0,0.09139267355203629,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000438_112bpm,basic_groove,SD,T14,1.31,1.34,-30.0,30.0,0.1338084638118744,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000452_98bpm,basic_groove,SD,T14,1.56,1.54,20.0,20.0,0.0966135784983635,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000453_90bpm,basic_groove,KD,SD,1.18,1.16,20.0,20.0,0.07303504645824432,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000454_93bpm,basic_groove,SD,KD,1.28,1.29,-10.0,10.0,0.04183357581496239,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000456_113bpm,basic_groove,T12,KD,1.65,1.6,50.0,50.0,0.12091042846441269,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000456_113bpm,basic_groove,T12,SD,1.65,1.6,50.0,50.0,0.12091042846441269,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000456_113bpm,basic_groove,T14,KD,1.65,1.6,50.0,50.0,0.05600937455892563,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000456_113bpm,basic_groove,T14,SD,1.65,1.6,50.0,50.0,0.05600937455892563,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000456_113bpm,basic_groove,T16,KD,1.65,1.6,50.0,50.0,0.048179056495428085,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000456_113bpm,basic_groove,T16,SD,1.65,1.6,50.0,50.0,0.048179056495428085,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000467_92bpm,basic_groove,T12,SD,1.97,1.97,0.0,0.0,0.06603613495826721,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000467_92bpm,basic_groove,T14,SD,1.8,1.8,0.0,0.0,0.04598644748330116,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000467_92bpm,basic_groove,T14,SD,1.97,1.97,0.0,0.0,0.13872137665748596,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000477_108bpm,basic_groove,KD,SD,0.92,0.97,-50.0,50.0,0.040710899978876114,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000487_109bpm,basic_groove,T16,KD,1.64,1.65,-10.0,10.0,0.14407719671726227,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000496_94bpm,basic_groove,KD,SD,0.59,0.64,-50.0,50.0,0.12805739045143127,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000503_96bpm,basic_groove,KD,SD,0.68,0.63,50.0,50.0,0.16106641292572021,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000509_107bpm,basic_groove,SD,KD,0.0,0.0,0.0,0.0,0.048360832035541534,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000513_100bpm,basic_groove,KD,SD,1.0,1.05,-50.0,50.0,0.04091007634997368,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000513_100bpm,basic_groove,SD,T14,1.9,1.94,-40.0,40.0,0.056810833513736725,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000513_100bpm,basic_groove,T14,SD,2.07,2.09,-20.0,20.0,0.0457962229847908,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000515_92bpm,basic_groove,T12,T16,1.25,1.3,-50.0,50.0,0.042525578290224075,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000515_92bpm,basic_groove,T14,T16,1.32,1.3,20.0,20.0,0.09492293000221252,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000523_114bpm,basic_groove,T12,KD,1.27,1.32,-50.0,50.0,0.040615715086460114,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000535_102bpm,basic_groove,T12,T14,1.91,1.91,0.0,0.0,0.04396283999085426,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000538_93bpm,basic_groove,T12,SD,1.92,1.93,-10.0,10.0,0.09274129569530487,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000539_95bpm,basic_groove,SD,T16,2.23,2.22,10.0,10.0,0.08191481232643127,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000551_106bpm,basic_groove,KD,T12,1.23,1.27,-40.0,40.0,0.1590568870306015,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000554_98bpm,basic_groove,KD,T12,1.67,1.68,-10.0,10.0,0.04586508870124817,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000554_98bpm,basic_groove,T16,T12,1.67,1.68,-10.0,10.0,0.047190528362989426,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000560_104bpm,basic_groove,T12,T14,1.4,1.45,-50.0,50.0,0.04989970847964287,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000571_97bpm,basic_groove,KD,T16,2.2,2.16,40.0,40.0,0.0632648840546608,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000575_93bpm,basic_groove,SD,T16,2.25,2.27,-20.0,20.0,0.08221964538097382,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000578_100bpm,basic_groove,KD,SD,0.48,0.45,30.0,30.0,0.04698287323117256,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000585_109bpm,basic_groove,T16,KD,1.56,1.51,50.0,50.0,0.047263193875551224,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000586_98bpm,basic_groove,KD,SD,1.85,1.84,10.0,10.0,0.041317690163850784,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000586_98bpm,basic_groove,T12,SD,1.84,1.84,0.0,0.0,0.05206117779016495,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000587_99bpm,basic_groove,T12,T16,1.2,1.21,-10.0,10.0,0.11557573080062866,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000598_94bpm,basic_groove,SD,T14,2.28,2.23,50.0,50.0,0.051124028861522675,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000607_113bpm,basic_groove,KD,T14,1.61,1.59,20.0,20.0,0.07174377888441086,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000607_113bpm,basic_groove,SD,T16,1.41,1.46,-50.0,50.0,0.07108423858880997,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000607_113bpm,basic_groove,T16,T14,1.6,1.59,10.0,10.0,0.1368328481912613,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000617_94bpm,basic_groove,KD,T14,1.58,1.59,-10.0,10.0,0.13146181404590607,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000617_94bpm,basic_groove,SD,T14,1.57,1.59,-20.0,20.0,0.05007944628596306,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000617_94bpm,basic_groove,SD,T16,2.05,2.07,-20.0,20.0,0.06428289413452148,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000617_94bpm,basic_groove,T12,T14,1.57,1.59,-20.0,20.0,0.07475779205560684,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000633_114bpm,basic_groove,KD,T12,1.2,1.18,20.0,20.0,0.18552038073539734,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000633_114bpm,basic_groove,SD,KD,1.49,1.45,40.0,40.0,0.0899067148566246,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000633_114bpm,basic_groove,T12,T14,1.28,1.32,-40.0,40.0,0.04362034797668457,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000636_113bpm,basic_groove,KD,SD,0.56,0.53,30.0,30.0,0.05301429331302643,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000639_101bpm,basic_groove,KD,SD,1.81,1.78,30.0,30.0,0.05711747333407402,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000655_111bpm,basic_groove,SD,T12,1.44,1.49,-50.0,50.0,0.05481443181633949,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000655_111bpm,basic_groove,T14,T12,1.44,1.49,-50.0,50.0,0.18021884560585022,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000671_104bpm,basic_groove,SD,KD,1.46,1.44,20.0,20.0,0.08278360962867737,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000671_104bpm,basic_groove,SD,T14,1.46,1.44,20.0,20.0,0.08278360962867737,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000674_108bpm,basic_groove,KD,SD,0.6,0.56,40.0,40.0,0.046686749905347824,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000674_108bpm,basic_groove,T12,T14,1.43,1.39,40.0,40.0,0.134492427110672,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000674_108bpm,basic_groove,T16,T14,1.44,1.39,50.0,50.0,0.06243964657187462,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000691_90bpm,basic_groove,KD,SD,1.2,1.16,40.0,40.0,0.044164326041936874,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000691_90bpm,basic_groove,KD,T12,1.44,1.49,-50.0,50.0,0.16828610002994537,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000695_96bpm,basic_groove,KD,T16,2.09,2.04,50.0,50.0,0.06505153328180313,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000695_96bpm,basic_groove,T14,T16,2.08,2.04,40.0,40.0,0.07101034373044968,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000708_102bpm,basic_groove,KD,T16,1.87,1.91,-40.0,40.0,0.06585074961185455,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000708_102bpm,basic_groove,SD,T14,2.03,2.06,-30.0,30.0,0.05024957284331322,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000714_102bpm,basic_groove,KD,T14,1.9,1.91,-10.0,10.0,0.08557393401861191,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000715_91bpm,basic_groove,KD,SD,1.16,1.15,10.0,10.0,0.04368172958493233,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000734_93bpm,basic_groove,KD,SD,1.94,1.94,0.0,0.0,0.05190146714448929,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000737_103bpm,basic_groove,T12,SD,1.65,1.6,50.0,50.0,0.04097946733236313,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000737_103bpm,basic_groove,T12,T14,1.65,1.6,50.0,50.0,0.04097946733236313,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000737_103bpm,basic_groove,T14,SD,1.7,1.75,-50.0,50.0,0.055410150438547134,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000738_103bpm,basic_groove,SD,KD,1.47,1.46,10.0,10.0,0.040123481303453445,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000738_103bpm,basic_groove,T16,SD,1.64,1.6,40.0,40.0,0.1452338546514511,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000739_108bpm,basic_groove,KD,SD,0.32,0.28,40.0,40.0,0.04673877730965614,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000739_108bpm,basic_groove,KD,SD,0.5,0.55,-50.0,50.0,0.13516277074813843,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000739_108bpm,basic_groove,T12,SD,1.51,1.53,-20.0,20.0,0.07320629060268402,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000746_90bpm,basic_groove,KD,T16,2.18,2.16,20.0,20.0,0.043468229472637177,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000753_113bpm,basic_groove,KD,T12,1.1,1.06,40.0,40.0,0.04156043753027916,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000754_113bpm,basic_groove,KD,T12,1.6,1.59,10.0,10.0,0.07197622954845428,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000754_113bpm,basic_groove,T14,T12,1.59,1.59,0.0,0.0,0.05427183955907822,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000761_94bpm,basic_groove,SD,T14,2.41,2.38,30.0,30.0,0.049575358629226685,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000761_94bpm,basic_groove,SD,T16,2.41,2.38,30.0,30.0,0.049575358629226685,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000768_103bpm,basic_groove,T12,T16,1.75,1.75,0.0,0.0,0.04918671399354935,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000768_103bpm,basic_groove,T14,T16,1.74,1.75,-10.0,10.0,0.09568356722593307,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000770_111bpm,basic_groove,KD,SD,1.6,1.63,-30.0,30.0,0.06811167299747467,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000770_111bpm,basic_groove,SD,KD,1.48,1.49,-10.0,10.0,0.05015862360596657,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000774_96bpm,basic_groove,KD,T12,1.7,1.72,-20.0,20.0,0.12369295954704285,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000774_96bpm,basic_groove,SD,T12,1.68,1.72,-40.0,40.0,0.05407135188579559,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000774_96bpm,basic_groove,T12,T14,1.25,1.25,0.0,0.0,0.04921931028366089,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000777_106bpm,basic_groove,SD,T16,1.11,1.13,-20.0,20.0,0.07608917355537415,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000810_112bpm,basic_groove,T12,KD,1.05,1.07,-20.0,20.0,0.06413877755403519,0.04,0.04,global,final,50.0
